Variance	Mean
0.001435955236	-0.001117
0.002473570225	0.003123
0.002334629124	-0.003471
0.001860800769	-0.000585
0.001287876769	-0.000769
0.0020394256	-0.003124
0.003006219241	-0.00325
0.001169229636	-0.002174
0.001210970401	0.00373
0.004219541764	-0.00245
0.0008958049	-0.00095
0.002219069449	-0.0037
0.0018139081	-0.001122
0.0025351225	-0.002441
0.0022259524	-0.001706
0.0026193924	-0.004615
0.003408808225	-0.003774
0.001406325001	-0.000704
0.0012446784	-0.001872
0.002359919241	-0.003547
0.002209188004	-0.001909
0.001570219876	-0.001519
0.002921618704	-0.00177
0.001746236944	-0.00297
0.002463037641	-0.002909
0.001749246976	-0.000913
0.002663179236	-0.003166
0.000980629225	-0.001573
0.002193610896	-0.004037
0.001432849609	-0.002049
0.0017189316	-0.001934
0.002068703289	-0.000024
0.002573634361	-0.002685
0.002072434576	-0.000048
0.001923962769	0.000078
0.001898432041	0.000727
0.001099055104	-0.000184
0.001577360656	0.000267
0.001085570704	-0.001631
0.000967894321	0.003083
0.001536248025	-0.000721
0.001066087801	-0.000505
0.001132793649	0.003389
0.002506604356	-0.003688
0.001310512401	-0.002193
0.0021409129	-0.001267
0.002126777689	-0.001512
0.001180678321	-0.000185
0.001647710464	-0.002784
0.001977847729	0.000599
0.001733556496	-0.001045
0.003376888321	-0.001868
0.002532404329	-0.00263
0.002417000569	-0.003235
0.001853474704	-0.004201
0.0025715041	-0.001152
0.003399239809	-0.008489
0.001861749904	-0.000333
0.002178929041	-0.001063
0.000668067409	0.000047
0.001110755584	0.001117
0.000813732676	0.003307
0.002169882724	-0.003222
0.002850171769	-0.00478
0.0016933225	-0.00283
0.001896167025	-0.000265
0.001505207209	-0.001153
0.002329124121	-0.000446
0.003669088329	-0.004229
0.001772999449	-0.001639
0.002716390161	-0.001746
0.002743140625	-0.002548
0.001323213376	-0.000316
0.002066793444	-0.00355
0.001995587584	-0.001803
0.001910301849	-0.00185
0.001725654681	-0.000024
0.002348759296	-0.006139
0.001695545329	0.002309
0.001676656809	0.000084
0.002207684196	-0.001016
0.001564914481	-0.001842
0.002023110441	-0.00353
0.002494203364	0.001022
0.001161241929	0.000835
0.002150362384	-0.001463
0.002055534244	0.000093
0.001510332769	0.000942
0.001045746244	-0.000729
0.003136	-0.005431
0.001282857489	0.000044
0.003043839241	0.000417
0.001436789025	-0.000553
0.001644464704	-0.000946
0.002660083776	-0.003995
0.001772157409	0.000852
0.000992754064	0.001827
0.000753777025	-0.000517
0.001555829136	-0.000335
0.002781929536	-0.001491
0.00276676	-0.000262
0.002387495044	-0.006679
0.001844015364	-0.003203
0.001109089809	0.001489
0.000841	-0.001452
0.002426153536	-0.001382
0.002535323904	-0.001451
0.002936447721	-0.001334
0.0008503056	-0.000836
0.001137105841	0.000766
0.002366725201	-0.000116
0.0030239001	-0.005042
0.003212962489	-0.001256
0.000931165225	0.000063
0.001665537721	0.003549
0.003288793104	-0.004634
0.002118852961	-0.003247
0.002124656836	-0.001835
0.001901657664	-0.000023
0.003039537424	-0.006252
0.003047592025	-0.003816
0.001834837225	-0.002696
0.005385211456	-0.006984
0.001873764369	-0.002023
0.001599680016	-0.001914
0.0017740944	-0.000386
0.002365363225	-0.002609
0.001141223524	-0.001762
0.000894428649	-0.001116
0.001643815936	0.000326
0.0032661225	-0.004928
0.001093228096	0.001696
0.002421427264	-0.003558
0.002046748081	0.000593
0.001780418025	-0.000513
0.004279645561	-0.008252
0.001698676225	0.001473
0.003038434884	-0.003436
0.001710153316	-0.001793
0.002025450025	-0.003339
0.0048274704	-0.005376
0.003377818161	0.000903
0.001716279184	-0.001329
0.0011799225	-0.00113
0.002484424336	-0.00253
0.002066247936	-0.001824
0.004019433201	-0.002864
0.001327582096	-0.001668
0.001992015424	-0.003123
0.002108095396	-0.003711
0.001772494201	-0.002468
0.001552123609	-0.000076
